profile_key,geelark_phone_id,business_name,home_lat,home_lng,business_lat,business_lng,nearby_1_lat,nearby_1_lng,nearby_2_lat,nearby_2_lng,onsite_1_lat,onsite_1_lng,branded_searches,search_terms,search_mode,business_goal,provisioned,maps_verified,gps_test_status,notes,source
ellieallison9987,614216875076747634,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,OK,Completed full Path A successfully in past runs,goal_a5_pixel7.csv
gracelynvillanueva9987,614216895242960963,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_x70_real.csv
helenscott9987,614216854994420082,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a3_x50.csv
jacobsiesta38,614216798086103107,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_s22.csv
jakobebranch9987,614216883146588530,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_samsung_real.csv
lornawilliamson921,613135434842636540,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a6_s9plus.csv
luisamathis93437,614216886971793475,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_y31_real.csv
marcinbagerman,614216843351031875,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a2_galaxya51.csv
masonhaggerley,614216802213298243,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,GPS_INTERMITTENT,GPS sometimes works; needs monitoring,goal_a4_neo7.csv
oakleighoneal9987,614216903581237315,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_findx_real.csv
oliverjohnsondrains,614216769833271363,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a5_y77.csv
paulshaw9211,613438578466226595,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,OK,Completed full Path A successfully in past runs,goal_a5_galaxya22.csv
priscillagiles9987,614216871117324355,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,OK,Completed full Path A successfully in past runs,goal_a2_galaxya22.csv
real_business_24,614216822245294147,The Dickens Inn,51.500749,-0.128356,51.5013,-0.0886,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,Costa Coffee Tower Bridge,coffee,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
sandeephassamatta,614216835079864690,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a1_s23_1.csv
serial_24,614216822245294147,Milestone Test Business,,,,,,,,,,,,,discovery,review,1,1,UNKNOWN,Not tested recently,runs.sqlite
sylviazimmer921,613286814907629987,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a6_y77.csv
tannerchambers9987,614216911852404803,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_pixel7_real.csv
valerieparrish94387,614216879120056690,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,GPS_FAIL,Fake GPS returns near-zero coords; exclude from production,goal_a5_y31.csv
vincehawthorne92,614216806256607602,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5187,-0.0991,51.52,-0.1,,,The Dickens Inn near me,pub near me,discovery,review,1,1,PHONE_NO_START,Phone does not boot within 120s,goal_a4_s15e.csv
waylonswanson92387,614216851202768963,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,TIMEOUT,15-minute timeout during run,goal_a3_8i.csv
williambrown314809,614216773910135154,The Dickens Inn,51.500749,-0.128356,51.5224,-0.1026,51.5224,-0.1026,51.5187,-0.0991,51.5013,-0.0886,The Dickens Inn near me,pub near me|bar near me,discovery,review,1,1,UNKNOWN,Not tested recently,goal_a1_s20_reconfirm.csv
